action,support,supported
general-reqmore,10866,True
general-bye,7288,True
booking-inform,4314,True
booking-book(ref),3919,True
general-welcome,3882,True
restaurant-inform(name),3043,True
hotel-inform(choice),2837,True
train-inform(leaveat),2584,True
hotel-inform(name),2495,True
restaurant-inform(choice),2460,True
train-inform(trainid),2370,True
restaurant-inform(food),2359,True
restaurant-inform(area),2235,True
hotel-inform(type),2165,True
train-inform(arriveby),2141,True
train-offerbook,2050,True
attraction-inform(name),1946,True
restaurant-inform(pricerange),1890,True
hotel-inform(area),1738,True
hotel-inform(pricerange),1680,True
attraction-inform(area),1651,True
hotel-request(area),1601,True
attraction-inform(choice),1591,True
general-greet,1585,True
train-offerbooked(ref),1552,True
restaurant-inform(address),1530,True
train-inform(choice),1480,True
attraction-inform(address),1469,True
taxi-inform(type),1464,True
attraction-inform(type),1463,True
taxi-inform(phone),1451,True
train-request(leaveat),1426,True
attraction-inform(entrancefee),1418,True
restaurant-request(food),1394,True
hotel-inform(stars),1380,True
attraction-inform(phone),1328,True
booking-request(bookday),1266,True
hotel-recommend(name),1230,True
train-inform(destination),1222,True
attraction-inform(postcode),1201,True
restaurant-inform(phone),1194,True
restaurant-recommend(name),1186,True
train-request(departure),1177,True
train-request(day),1173,True
hotel-inform(internet),1170,True
attraction-recommend(name),1123,True
train-request(destination),1101,True
hotel-inform(parking),1091,True
booking-book(name),1081,True
train-inform(departure),1052,True
hotel-request(pricerange),1020,True
train-offerbooked(price),1001,True
train-inform(price),895,True
booking-nobook,894,True
restaurant-request(area),845,True
hotel-inform(address),782,True
booking-request(bookpeople),763,True
train-request(arriveby),745,True
booking-book(bookday),744,True
train-inform(day),735,True
restaurant-inform(postcode),731,True
train-inform(duration),730,True
booking-request(booktime),691,True
booking-request(bookstay),690,True
restaurant-request(pricerange),686,True
attraction-request(type),676,True
restaurant-nooffer,666,True
booking-book(bookpeople),664,True
attraction-request(area),646,True
taxi-request(leaveat),557,True
taxi-request(departure),542,True
hotel-inform(phone),538,True
restaurant-nooffer(food),516,True
hotel-inform(postcode),512,True
booking-book(booktime),476,True
train-request(bookpeople),455,True
hotel-select,451,True
taxi-request(destination),416,True
restaurant-select,408,True
booking-book(bookstay),399,True
hotel-nooffer(type),395,True
train-offerbooked(trainid),346,True
hotel-recommend(area),335,True
attraction-recommend(entrancefee),327,True
taxi-request(arriveby),324,True
attraction-recommend(address),324,True
hotel-request(stars),312,True
train-offerbooked(bookpeople),311,True
restaurant-recommend(food),303,True
hotel-nooffer,297,True
restaurant-recommend(area),292,True
restaurant-nooffer(area),292,True
hospital-inform(address),289,True
attraction-recommend(area),278,True
hotel-recommend(pricerange),268,True
attraction-nooffer(area),267,True
attraction-nooffer(type),254,True
hospital-inform(phone),251,True
hospital-inform(postcode),247,True
hotel-recommend(stars),244,True
restaurant-recommend(pricerange),242,True
police-inform(phone),234,True
hospital-inform(name),231,True
booking-inform(name),228,True
train-select,223,True
hotel-select(type),223,True
police-inform(postcode),211,True
hotel-request(parking),210,True
hotel-request(type),210,True
police-inform(address),209,True
attraction-select,205,True
hotel-nooffer(area),195,True
hotel-nooffer(stars),189,True
train-offerbooked(leaveat),185,True
taxi-inform(departure),183,True
restaurant-recommend(address),182,True
restaurant-select(food),170,True
hotel-nooffer(pricerange),167,True
attraction-recommend(type),163,True
hotel-request(internet),162,True
hotel-recommend(type),160,True
hotel-recommend(internet),156,True
taxi-inform(destination),154,True
taxi-inform(leaveat),149,True
train-offerbook(trainid),145,True
restaurant-nooffer(pricerange),145,True
hotel-recommend(parking),143,True
attraction-recommend(postcode),135,True
train-offerbook(leaveat),128,True
police-inform(name),126,True
attraction-recommend(phone),122,True
hotel-recommend(address),118,True
train-offerbooked(arriveby),102,True
hotel-select(pricerange),99,True
taxi-inform(arriveby),98,True
train-offerbooked(departure),91,True
attraction-nooffer,91,True
attraction-request(name),90,True
train-offerbook(arriveby),89,True
train-offerbooked(destination),88,True
booking-book,87,True
attraction-select(type),84,True
train-inform(ref),83,True
restaurant-select(pricerange),83,True
hospital-request(department),79,True
hotel-select(area),78,True
hospital-inform(department),75,True
restaurant-select(area),75,True
restaurant-select(name),73,True
train-offerbooked(day),72,True
hotel-request(name),70,True
booking-nobook(name),69,True
booking-inform(bookday),67,True
attraction-request(entrancefee),64,True
hotel-select(name),64,True
restaurant-recommend(phone),60,True
restaurant-inform(ref),59,True
booking-nobook(bookday),58,True
booking-inform(bookpeople),58,True
booking-nobook(booktime),52,True
train-select(leaveat),48,True
restaurant-request(name),46,True
hotel-inform(ref),46,True
restaurant-recommend(postcode),46,True
hotel-select(stars),45,True
train-offerbook(destination),42,True
general-thank,42,True
hotel-inform,41,True
